"","silhouette_matrix.clusters","silhouette_matrix.neighbor_clusters","silhouette_matrix.intra_clust_dissim","silhouette_matrix.outer_clust_dissim","silhouette_matrix.silhouette_widths","silhouette_matrix.diameter","silhouette_matrix.separation"
"1",1,14,0.432936005794304,0.632506778694072,0.315523532114262,0.709684555335249,0.13231521416659
"2",1,17,0.422616033930665,0.825420979424221,0.487999403376609,1.00551499053105,0.327251021597972
"3",18,17,0.418366964102873,0.389793774330918,-0.0682969551222254,0.928299888204079,0.0502416850962986
"4",18,17,0.449146817783163,0.456111735235901,0.0152702000730927,1.08982547014985,0.0890087276683971
"5",26,10,0.634239958097471,0.805591405924314,0.212702676029964,1.34487525665429,0.228197749772291
"6",26,1,0.638760249418325,0.505334809593056,-0.208881876958954,1.3610906386569,0.0551786344573433
"7",26,1,0.697145944015478,0.710901190132139,0.0193490267108773,1.27942810071437,0.153536328402729
"8",8,9,1.49547985738073,1.73481771177447,0.137961385089231,3.7813781954681,0.72739180957475
"9",2,25,0.926442327184967,1.02958901855523,0.100182392693937,1.40511763041159,0.251938688850866
"10",8,9,1.27395733026907,2.04988810661072,0.378523478349542,3.21310753202027,1.18274513601027
"11",8,21,1.52610794156439,1.37515005918378,-0.0989169103109836,4.06353484157531,0.271415562734969
"12",8,9,1.50547858944664,2.42934024973182,0.380293234093974,2.39099027887646,1.62080627546546
"13",8,21,1.37931695219923,1.91154957883825,0.278429935865166,3.62350982484494,0.789274652297151
"14",27,2,0.757505292674356,0.723287069723977,-0.045172255931799,1.73558362902853,0.170179336395271
"15",23,21,2.21280450466163,1.3827973202312,-0.375092866397318,10.2180544411783,0.239134722498773
"16",21,13,1.09533742287214,1.22032009672238,0.10241794278888,2.74593102892161,0.257794184308263
"17",8,9,1.2604346103762,0.981698318017578,-0.221143001044244,3.38828323255395,0.131236418560925
"18",8,9,1.13906901977405,1.91792277321872,0.406092343404197,2.83822884872953,1.148592764523
"19",8,9,1.28320539153549,2.2255017605378,0.423408503067011,2.71328354956265,1.42808960179406
"20",13,9,0.948547733087092,1.08433582259583,0.125226969983957,1.80753015977373,0.145945570793528
"21",9,13,0.899301645389021,0.941777144825808,0.0451014336779674,2.04405352094623,0.21331010326706
"22",21,28,0.805905113581439,1.22285725311458,0.34096550392221,2.02746942809186,0.485420329696829
"23",21,9,1.23683121997391,1.45883842920756,0.15218080685895,2.752875748801,0.309158812138135
"24",21,28,0.950527383921777,1.11470203536971,0.147281198238312,1.82581220580573,0.282233267009699
"25",20,2,0.409517531481833,0.627985845784479,0.347887322252837,1.23115590064481,0.218378337441927
"26",20,18,0.644747467732064,0.843631617689321,0.235747624658727,1.04654876719955,0.334807506399613
"27",13,27,0.903315461714882,0.807596515210824,-0.105964029800112,1.86385110940188,0.159882058012183
"28",3,6,0.835821315832396,0.963421885871098,0.132445164377109,2.01950965151746,0.244303163402324
"29",7,4,0.831744359279284,1.49239363500293,0.442677628896714,1.91055876415122,0.794963790243862
"30",18,17,0.325371381901285,0.544503147545931,0.402443524215187,0.808861771089268,0.247955875130955
"31",11,30,0.711740119877986,0.84630147813343,0.158999318484268,1.26942202736882,0.156632493798815
"32",25,2,0.538701375622079,1.0040642407791,0.463479174196986,1.20768554205369,0.495522014131209
"33",25,2,0.665094733824498,1.00268698848474,0.336687579012479,1.14907704996193,0.4254770477116
"34",2,27,0.507072394948089,0.694987161497524,0.270385953813198,1.18663626721921,0.091877211791365
"35",27,2,0.533314173036451,0.852256229250761,0.374232590232516,1.09950421674517,0.448456833346965
"36",27,2,0.534072516037006,0.639410794850994,0.164742728246456,1.29333436863132,0.209905706009076
"37",27,13,0.664938008677493,0.907956380011749,0.26765423613314,1.3741484404642,0.190450663893096
"38",25,20,0.642454579704785,0.841533577614706,0.236566909753265,1.14441753858322,0.260907841171475
"39",21,27,1.00081893708154,1.2259112823165,0.183612263368374,2.5879786788587,0.46014497558973
"40",2,20,0.513651704053257,0.572287452120432,0.102458559679962,1.22954923282411,0.0671987489988252
"41",2,14,0.492009825536889,0.64245955987601,0.23417775022004,1.29953074676558,0.13879065634026
"42",18,22,0.411656702948961,0.486726779437551,0.154234530870357,0.907651369702346,0.124980756224204
"43",2,10,0.465564609627563,0.698146452074423,0.333141909918446,1.20273931391651,0.229111568051899
"44",2,15,0.679989454686001,0.784502226382034,0.133221765574872,1.39870393277082,0.115888895804412
"45",27,10,0.801089490691759,0.976064051176554,0.179265449100271,1.56916395207143,0.261624588987038
"46",20,2,0.442740261037248,0.551792837292504,0.197633185654144,1.18644708437185,0.181817050880433
"47",27,2,0.782931330953915,1.05022623587368,0.254511738318369,1.27613900520902,0.511787665813213
"48",20,18,0.407204310391675,0.642320272159617,0.366041633681329,1.165485553239,0.256059120636923
"49",14,20,0.477556283755944,0.608313315202587,0.214950138651982,0.938327374420202,0.102789826919183
"50",27,9,1.05878468872625,1.45164466174831,0.270630949414928,1.59170183131289,0.452943410414149
"51",20,18,0.507078136287366,0.493927028938314,-0.0259350707670797,1.1276603540508,0.0632350936983261
"52",14,18,0.63538642484281,0.616780765878823,-0.0292824307170072,1.15650712851595,0.0938025726665007
