"","silhouette_matrix.clusters","silhouette_matrix.neighbor_clusters","silhouette_matrix.intra_clust_dissim","silhouette_matrix.outer_clust_dissim","silhouette_matrix.silhouette_widths","silhouette_matrix.diameter","silhouette_matrix.separation"
"1",5,10,0.579868832860012,1.16746829721918,0.503310852858946,1.39693239999699,0.577360192175961
"2",5,10,0.762402289587146,1.34621269002323,0.4336687692537,1.69589532952684,0.681114680001567
"3",10,5,0.508750668968028,1.06859547973829,0.523907148575412,1.45456229059552,0.397054699478596
"4",10,5,0.628720143500189,0.817525153289185,0.230947034509419,1.56507389102041,0.115195627099059
"5",5,2,0.802029449498786,0.976665050942667,0.178808078855002,1.68547237489364,0.117427285555507
"6",5,2,0.662240227771013,1.31898332044989,0.497916146850797,1.71151493870683,0.488377047650557
"7",5,2,0.910847838253067,1.58908111621874,0.426808468770648,1.93217110720916,0.665368711760902
"8",8,7,2.03829552114196,2.3118485172004,0.118326522703877,10.7191812794519,0.567285651780015
"9",9,7,1.03365949321902,1.76909449549456,0.415712673431809,1.75986059427441,0.445101528915688
"10",8,7,2.37287964251272,2.46386675806921,0.0369285860359529,10.2581744497911,0.486898138859999
"11",8,7,1.56056365918151,2.20724810940307,0.292982219564091,10.6103668030936,0.889720036998152
"12",7,8,2.54647214406586,3.13030397189683,0.186509627522593,5.90142197349634,1.14571701583014
"13",8,7,2.02880687559513,2.49150821759817,0.185711344933507,10.0644849839768,0.798724973024969
"14",9,2,0.911369125526012,1.06257093278775,0.142298083446579,2.06014393583204,0.170179336395271
"15",8,2,1.99339939704621,2.41776993529458,0.175521472102625,10.2180544411783,1.00402977866898
"16",8,7,1.2954407448688,1.7882848255321,0.275595964147742,11.2072378916253,0.649239552835186
"17",7,8,1.52495988011635,1.79806315827141,0.151887477866803,6.71627561416846,0.256567297662582
"18",7,8,2.22190939379608,2.38003050010451,0.0664365882292199,6.6194788060142,0.590400188478361
"19",7,8,2.52755837447179,2.7028275390429,0.0648465956629918,6.55818765662065,0.372100864818456
"20",7,9,1.18657192121258,1.73753984174084,0.317096567970636,6.66570363789547,0.695544467606299
"21",7,8,1.30985860504529,1.54186445159885,0.150470974483505,6.9865507269104,0.319532757247085
"22",8,2,1.34673425359167,1.56272576137286,0.138214594729302,11.162096788957,0.574922371566756
"23",8,7,1.43494560284894,1.98151369886961,0.275833619688054,10.8305693840751,0.798139468002429
"24",8,2,1.54984384036092,1.57680636122667,0.017099449576533,11.0998483990512,0.413562672647003
"25",9,10,0.734961860149169,0.96390030463563,0.23751257612996,1.673519694268,0.250953188994664
"26",10,9,0.966506966526581,1.14951631589319,0.159205525694874,1.72333521722467,0.273505705799142
"27",8,7,1.32349265508825,1.49626214932193,0.115467396078944,11.8931758568372,0.337876079697002
"28",4,3,0.945936298089975,1.58429737092991,0.402930084056914,1.82970327646915,0.55831632256933
"29",3,2,1.31188181221283,2.05153065871337,0.360535117210684,1.99245680220662,0.88458671273432
"30",10,5,0.491068560792503,1.12293702910908,0.562692699534443,1.39387843558676,0.471026918773399
"31",4,1,0.851933765871867,1.58145930411792,0.461298963777609,2.03515301365914,0.366534066173457
"32",9,10,0.905720316569712,1.53976358252496,0.411779621982956,1.47590424048604,0.459436110470502
"33",9,7,0.993347758135395,1.52745293347104,0.349670463574889,1.55315667455954,0.319756403040851
"34",9,2,0.792599323451465,1.0946939394023,0.275962627614235,2.06112121475457,0.211194940875148
"35",8,9,1.52175958440203,1.10821933411299,-0.271751368959862,12.3332625395681,0.0656406277865105
"36",9,2,0.9307607768108,1.42199112377593,0.345452470660104,2.11636005477112,0.219954559261068
"37",8,9,1.5624944975944,1.09258807530898,-0.300741169334602,12.3925757549067,0.140243178362786
"38",9,10,0.892375226588582,1.31026570407637,0.318935675556252,1.54817333833431,0.566867183130243
"39",8,2,1.42416280681803,1.59050709429421,0.104585693501729,11.3693911507652,0.647961549351562
"40",9,10,0.619107628982565,1.13540273285419,0.454724203960436,1.58105087048749,0.485868291627631
"41",9,5,0.655236973337547,1.16045781727892,0.435363385397353,1.7555025885424,0.332240583079173
"42",10,5,0.502377136034955,1.27840430567377,0.607027969316654,1.36614692265306,0.635429274881227
"43",9,2,0.77453250172372,1.12220909956126,0.309814452559211,2.08737429217521,0.229111568051899
"44",9,2,0.755648718061241,1.20985430235227,0.375421720952629,1.6731738940363,0.302693507742817
"45",8,2,1.50553161229886,1.20190015410242,-0.201677238601991,12.0352932350423,0.139048784264818
"46",9,10,0.701010302038866,1.1307862950233,0.380068271852886,1.60129891715266,0.417630044880224
"47",8,9,1.72960649893399,1.32897574179167,-0.231631158526084,12.3362689862239,0.232707136862808
"48",9,10,0.806500458786347,0.848026761800723,0.0489681515783743,1.70031548404661,0.116390270307562
"49",9,5,0.755539929781611,0.998293166154501,0.243168284230566,1.83821577391459,0.2135474403151
"50",8,9,1.54900766469811,1.91662458434166,0.191804343243268,11.6441449220327,0.830403689369624
"51",10,9,0.694266378152659,0.961807943407527,0.278165268948614,1.60148123812767,0.186037591361265
"52",10,5,0.822931509472242,0.915797292778277,0.101404299879841,1.65485034392599,0.0702522697963727
"53",9,2,0.939394281329648,1.59128599370171,0.409663451417435,2.09873518679026,0.330445065236938
"54",9,10,0.841120100011627,0.828121361226365,-0.0154540817477586,1.70682859112912,0.0643111573033078
"55",3,4,0.921491982221595,1.08921128423458,0.15398233973572,3.10142500030323,0.261986747844978
"56",8,9,1.70986645946424,1.52794169603253,-0.106397059504117,12.1749009087479,0.446509448518465
"57",9,2,0.789989376523079,1.10439233165661,0.284684116433441,1.74980664630237,0.22561489287254
"58",9,10,0.81954605443585,1.61552203691384,0.492705122115547,1.7527396059638,0.65169899166225
"59",9,10,0.718712738408037,0.988839188436797,0.27317530816693,1.47015795944401,0.296921754088004
"60",9,4,1.24991143358126,1.41248910498621,0.115100124192847,2.03757488695062,0.122539037380703
"61",8,9,1.72744174198191,1.55495142733238,-0.0998530430621846,12.1777516827707,0.334490715894521
"62",8,7,1.54170754029221,2.27253587831951,0.321591551094774,11.0063943498881,1.08921018039912
"63",8,2,1.41677243684711,2.19779946018073,0.355367738269166,10.9579573939617,1.33475615280467
"64",9,7,1.16552688952639,1.79203857265606,0.349608369311545,2.05837045648434,0.282853173307859
"65",9,10,0.869579347154273,0.882621272562745,0.0147763551750845,1.65698658773138,0.190122971405622
"66",9,10,0.859871039000669,1.266214356786,0.32091194955074,1.69234859157974,0.497761448890161
"67",8,2,1.75853693034823,1.71970110278472,-0.0220841694554677,11.7506570078112,0.431049340528757
"68",7,1,1.27572622537428,2.14007579204709,0.403887362253659,5.74214715493626,0.774026020664139
"69",4,5,0.870066753539967,1.44805775534881,0.399149135919386,2.30391867545202,0.512619893533647
"70",10,5,0.586989285498924,0.950188477788341,0.38223910390368,1.60349359485556,0.232014354183117
"71",5,10,0.775974580724331,0.846555280634321,0.0833739999319406,1.75126509414725,0.175958673635333
"72",3,2,1.32466534076082,1.66569520384835,0.204737254630761,2.98885070465102,0.354867325973243
"73",4,5,1.08058081368378,1.27868306172991,0.154926778945615,2.80599902171135,0.282040358586226
"74",5,3,1.10100551678252,1.45070128733678,0.241052912551168,1.92700700148776,0.305831959709494
"75",5,10,0.708710518194026,1.04032780703811,0.318762304151251,1.55292667564178,0.38390042103927
"76",4,3,1.07723700643125,1.14398532784211,0.0583471831205788,2.07892623356946,0.194886379862942
"77",10,5,0.646428327554432,0.979150405961454,0.339806914628518,1.66028512883603,0.207859306291774
"78",5,10,0.670356081991335,0.869933827287192,0.229417156840793,1.66622379527851,0.256396690724332
"79",5,10,0.775508708465865,0.699263700220963,-0.0983161212924762,1.90563168384132,0.121060274032241
"80",5,2,0.863209568326254,1.09650816136074,0.212765031082825,1.85858141299106,0.192868009842859
"81",5,10,0.641480801585099,1.10478514574864,0.419361489377729,1.48729824823603,0.477689223839475
"82",3,4,0.856920284623603,1.31341690955047,0.347564144794746,2.95237595949743,0.463855177897835
"83",4,3,0.920410219900007,1.39484867926355,0.34013614983242,1.9131895455286,0.422858526220002
"84",3,4,0.937215503809446,1.24843539605669,0.249287943317104,3.18310133437762,0.355901027030693
"85",3,4,0.843810802221642,1.69426635188404,0.501960951249892,2.62195792905693,0.951442659887617
"86",3,4,1.03563525835946,2.12557514789154,0.512774102864932,2.4698459071159,1.22945834242512
"87",3,4,0.9709803179407,1.14833057178589,0.154441811619952,3.21978488325236,0.241826436713828
"88",1,4,1.5176780200035,2.53709264266612,0.401804256383542,4.24584126822637,1.41806358386903
"89",4,3,1.1605668030136,1.97087710280558,0.411141972596105,2.07349972088522,0.705382168412272
"90",4,3,0.949134430290408,1.34272661663256,0.293129056553037,1.87448980705289,0.298408751910585
"91",4,3,0.69810940172621,1.56715048557106,0.554535822721695,1.95373275934478,0.742397945360377
"92",4,1,0.847493924391082,1.74018020629358,0.512984964818003,2.05989742332105,0.517241709751626
"93",4,1,0.947703028803921,1.82318555107127,0.480193868228571,1.79879980795981,0.539162071730128
"94",4,1,0.919418640848871,1.79052299796795,0.486508331983276,1.73049497547386,0.558389855571952
"95",4,1,0.933913423014042,1.60295261935309,0.417379271390477,1.97532440379952,0.332076835890946
"96",3,4,1.03036902777163,1.77872967077893,0.420727587390827,2.39839898662288,0.912107812157741
"97",4,3,0.992209895626935,1.20749929781708,0.178293604459519,1.99830825956395,0.178012087336548
"98",4,3,0.973176419962974,1.31523369559488,0.260073382226717,1.98547981077647,0.290252456141376
"99",3,2,1.95642753581208,2.5113222583026,0.220957195220965,2.84938446996946,0.634602782122208
"100",4,3,0.96959041760548,1.304265093924,0.256600194145825,1.97057004760785,0.2878500922112
"101",3,4,1.03301702555965,1.13392991610143,0.0889939396684536,3.09513246017025,0.213341675346139
"102",8,7,2.55264042268329,2.77137276713704,0.0789256310257053,10.2934357911088,1.01610526610341
"103",4,5,1.03653158478919,1.31121785380076,0.209489421010664,2.67537356464412,0.259911172725536
"104",4,1,0.835712576381459,1.69942774929351,0.508238831142492,1.59087606702082,0.505064956505468
"105",4,2,0.953893902376732,1.37601355510022,0.306769981413988,2.19157618054757,0.343090744219555
"106",5,3,1.05545136133983,1.28106654756532,0.176115118027449,1.58735188475972,0.184801143616345
"107",3,2,1.94722051709839,2.80911677078283,0.306821084352523,2.77657312186322,1.2591043859606
"108",3,2,1.62619145112927,2.44108773751793,0.333825070629062,2.47061976173561,0.993145638183161
"109",3,2,1.83086284011467,2.51384050392029,0.27168695179369,2.70554940261606,0.911881479425015
"110",10,5,0.737543202695528,1.36463840290486,0.459532136040181,1.65905887121858,0.562786604685031
"111",9,10,0.826942067582598,1.25992154170934,0.343655902207462,1.38582007639879,0.543932485009691
"112",8,9,1.50764943200691,1.02889039924451,-0.317553286989996,12.3777219074846,0.105496491273025
"113",9,2,0.736402263169236,1.39381017630872,0.471662443217715,1.80638967413732,0.466355071068857
"114",9,2,0.884556797765266,1.25794809904244,0.296825681092412,2.16045452117232,0.238893960206898
"115",8,2,3.4897128387748,4.03228698986268,0.134557424224003,9.0901790402845,2.17828235012331
"116",7,8,1.42550047041709,1.76180082982627,0.190884436944179,6.79577871894698,0.208696791560659
"117",9,10,0.764671633075498,0.925673320596707,0.173929272821025,1.54975347736684,0.209570751517802
"118",5,10,0.761097719451657,0.908066376317146,0.161847922903556,1.69452336653007,0.219605875552166
"119",8,2,1.72950544270648,2.37020577908076,0.270314224203252,10.2587530488908,1.1912113292302
"120",5,2,0.732312030317053,1.17702157903574,0.377826164481206,1.81077324789271,0.295220505040071
"121",10,5,0.494581025888875,1.11233719094894,0.555367715910904,1.3278784850805,0.467174336536862
"122",2,3,2.12100517386899,2.15279741224684,0.0147678728137572,2.91419259193874,0.652797285448198
"123",9,5,0.879151656688819,0.99380149684047,0.115364930034972,2.12279058146184,0.141695787128433
"124",4,5,0.877971612854018,1.45049613673029,0.394709444153957,2.51284899829905,0.50974414515149
"125",5,10,0.99037052415328,1.12133227983843,0.116791211704014,2.073509863972,0.271817342676565
"126",2,5,0.728706728549614,1.26021355974579,0.421759333634998,3.04035921394867,0.58956416270149
"127",2,5,0.942537834432294,1.38207046101173,0.318024759937116,2.62022576644276,0.582773443873209
"128",1,4,1.49949368531478,2.096245177311,0.284676381587058,5.2724335367037,0.988556388852002
"129",5,2,0.84383369450592,1.14872093135532,0.265414539360469,1.81890916523775,0.249925944157804
"130",5,10,0.724006198897509,0.717173166051425,-0.00943780986473408,1.85082128717819,0.0779798499677284
"131",2,5,0.972261318843245,0.914820369364523,-0.0590797436506707,3.15738658501091,0.11651402907945
"132",10,5,0.804803451231775,0.958608084506001,0.160445791935384,1.85628433871496,0.0777122024812912
"133",9,10,0.686105206030849,1.06760775531536,0.357343366405034,1.78409284418416,0.37531295104769
"134",4,3,0.771659124871228,1.3880510339544,0.444070062270794,1.83421592481577,0.454269771396912
"135",10,5,0.702789770728428,0.865604625640351,0.188093790269983,1.74663581173976,0.0776366999848988
"136",1,4,1.46622936814504,1.25705322449856,-0.142662633958231,6.04548907739314,0.166130613725009
"137",5,2,0.756715411954835,0.957797797134995,0.209942417681107,1.63819703882023,0.16937300790323
"138",5,10,0.585591666897464,1.06829284927831,0.451843502188502,1.5377798011053,0.468949501652897
"139",2,5,0.770681099703327,1.46114720355751,0.47255067947506,2.74154483164888,0.728769284365095
"140",5,2,0.927325984465066,1.28747486414685,0.279732746410113,1.97918575340783,0.346855576837759
"141",5,2,0.918101142017895,1.5098187798078,0.391913020094524,1.98844834470796,0.557139536477909
"142",5,10,0.802234301871532,1.53344841831652,0.476842981942453,1.79132357672121,0.770033520488749
"143",5,10,0.641564682068419,1.17795010750759,0.455354961148652,1.64164354661101,0.564362698924466
