sta,lat,lon
Tremiti,42.117965,15.490115
Trinidad_Head,41.05392,-124.15102
Trivandrum,8.533333,76.866667
Tsumkwe,-19.616667,20.4425
TUBITAK_UZAY_Ankara,39.891,32.778
Tucson,32.233002,-110.953003
Tucuman,-26.787153,-65.206697
Tudor_Hill,32.264,-64.879
Tukurui,-3.716666,-49.683331
Tunis_Carthage,36.838719,10.199781
Tuxtla_Gutierrez,16.754722,-93.152222
U_of_Wisconsin_SSEC,43.072492,-89.411354
UAHuntsville,34.72533,-86.64473
Uberlandia,-18.9,-48.28333
Ubon_Ratchathani,15.245518,104.871011
UCLA,34.069605,-118.442752
UCSB,34.415428,-119.84536
UH_Coastal_Center,29.3883,-95.0425
Ulaangom,49.973035,92.078183
UMBC,39.254628,-76.709353
Umm_Al_Quwain,25.533333,55.658333
UNC-Gaitan,4.31068,-72.3518
UNC-Palmira,3.512295,-76.30761
Univ_of_Houston,29.7177,-95.3416
Univ_of_Lethbridge,49.681672,-112.868967
Univ_of_Nevada-Reno,39.540867,-119.814033
UPC-GEAB-Valledupar,9.5596,-73.3293
Upington,-28.379,21.156
Upper_Buffalo,35.8258,-93.203
UPRM_Lidar_Lab,18.210131,-67.140125
USC_SEAPRISM,33.56371,-118.11782
USDA,39.029999,-76.879997
USDA-BARC,39.03127,-76.93218
USDA-Howard,39.0542,-76.8775
USGS_Flagstaff_ROLO,35.21484,-111.63442
USM_Penang,5.35838,100.30231
Ussuriysk,43.7004,132.1635
Valladolid,41.6636,-4.70583
Valladolid_Sci,41.6562,-4.7148
Vienna_BOKU,48.237861,16.331611
Vienna_UNIVIE,48.221667,16.355833
Vientiane,17.99228,102.569642
Villefranche,43.683889,7.328889
Vinon,43.709233,5.75865
Walker_Branch,35.958333,-84.2875
Wallops,37.93285,-75.47195
Wallops_ACHIEVE,37.933486,-75.471
Warsaw_UW,52.210932,20.982636
Waskesiu,53.914386,-106.069578
Watnall_MO,53.005652,-1.250958
WaveCIS_Site_CSI_6,28.866667,-90.483333
Weizmann_Institute,31.907235,34.810531
White_Sands_HELSTF,32.634942,-106.338072
Windhoek-NUST,-22.56591,17.07304
Windpoort,-19.365556,15.482778
Wits_University,-26.192444,28.028972
Wytham_Woods,51.770278,-1.3325
Xanthi,41.146767,24.91895
XiangHe,39.7536,116.9615
Xinglong,40.396389,117.578333
Xitun,24.1622,120.6169
Yakutsk,61.661667,129.366667
Yekaterinburg,57.038333,59.545
Yellowknife_Aurora,62.4513,-114.37625
Yen_Bai,21.70495,104.86894
Yonsei_University,37.56443,126.93479
Yufa_PEK,39.309,116.184
Yulin,38.283333,109.716667
Yuma,32.644138,-114.58278
Zambezi,-13.533167,23.107194
Zaragoza,41.6334,-0.88235
Zeebrugge-MOW1,51.362,3.12
Zhangye,39.078889,100.275556
Zhongshan,22.515833,113.383333
Zinder_Airport,13.776683,8.990233
Zinder_DMN,13.775417,8.9841
Zvenigorod,55.695,36.775
