sta,lat,lon
DRAGON_ABERD,39.515103,-76.16523
DRAGON_Aldine,29.901037,-95.326125
DRAGON_Aldino,39.563433,-76.203932
DRAGON_Anmyeon,36.53863,126.33002
DRAGON_ANNEA,39.1647,-76.6247
DRAGON_ARNCC,39.1589,-76.7208
DRAGON_ARNLS,39.058488,-76.512926
DRAGON_Arvin,35.237959,-118.78781
DRAGON_Aurora_East,39.63854,-104.56913
DRAGON_Bainbridge,39.606044,-76.074122
DRAGON_BATMR,39.398913,-76.47555
DRAGON_BelAir,39.500014,-76.263098
DRAGON_Beltsville,39.054091,-76.877491
DRAGON_BLDND,39.258315,-76.519504
DRAGON_BLLRT,39.389385,-76.578242
DRAGON_BLTCC,39.362201,-76.688429
DRAGON_BLTIM,39.263145,-76.651066
DRAGON_BLTNR,39.2156,-76.6186
DRAGON_Bokjeong,37.45699,127.13123
DRAGON_BOWEM,38.9747,-76.7506
DRAGON_BTMDL,39.238826,-76.441601
DRAGON_Channel_View,29.8025,-95.125556
DRAGON_CHASE,38.978612,-77.080002
DRAGON_Chatfield_Pk,39.5345,-105.070365
DRAGON_Clinton,29.733611,-95.2575
DRAGON_CLLGP,38.9911,-76.9086
DRAGON_Clovis,36.81931,-119.71639
DRAGON_CLRST,39.20541,-76.94445
DRAGON_Conroe,30.350278,-95.425
DRAGON_Corcoran,36.10222,-119.56583
DRAGON_CPSDN,39.110656,-76.462915
DRAGON_CTNVL,39.275833,-76.771944
DRAGON_Deer_Park,29.670046,-95.128485
DRAGON_Drummond,36.70556,-119.74139
DRAGON_EaglePoint,39.397778,-76.27
DRAGON_EDCMS,38.922218,-76.560012
DRAGON_Edgewood,39.409834,-76.296352
DRAGON_ELLCT,39.2661,-76.861603
DRAGON_Essex,39.310943,-76.474486
DRAGON_FairHill,39.701435,-75.860059
DRAGON_FLLST,39.522366,-76.413318
DRAGON_Fukue,32.752,128.682
DRAGON_Fukue_2,32.672,128.817
DRAGON_Fukue_3,32.6,128.745
DRAGON_Fukuoka,33.524,130.475
DRAGON_Galveston,29.254474,-94.861289
DRAGON_GangneungWNU,37.771,128.867
DRAGON_Guwol,37.44967,126.72403
DRAGON_Gwangju_GIST,35.228278,126.843139
DRAGON_Hanford,36.31572,-119.64323
