sta,obs_id,cluster id,year,month,day,hour,min,sec,lat,lon,elev,aod1c,aod2c,aod3c,aod4c,aod1t,aod2t,aod3t,aod4t,ssa1,ssa2,ssa3,ssa4,aod1a,aod2a,aod3a,aod4a,g1,g2,g3,g4,volcf,vmrf,stdf,volcc,vmrc,stdc,AEe1,AEe2,AEa,nr1,nr2,nr3,nr4,ni1,ni2,ni3,ni4
Railroad_Valley,58791,8,2007,8,19,12,0,0,38.497,-115.691,1437,0.299721,0.133838,0.077433,0.057715,0.30055,0.1344,0.0781,0.05755,0.8982,0.8643,0.8216,0.7884,0.043855,0.025598,0.018832,0.015745,0.686804,0.583012,0.535773,0.521188,0.0335,0.1535,0.356,0.027,3.921,0.6635,1.910015,1.919570665,1.239619,1.4795,1.4815,1.4701,1.4587,0.01861,0.01771,0.017639,0.017683
Railroad_Valley,58809,8,2018,8,19,12,0,0,38.497,-115.691,1437,0.382419,0.199335,0.125655,0.089932,0.38354,0.1996,0.12458,0.08962,0.908,0.8994,0.8692,0.8458,0.038125,0.021823,0.017687,0.014916,0.68079,0.57308,0.51938,0.495111,0.0798,0.1548,0.45,0.0182,3.7112,0.6116,1.631234,2.070664211,1.143193,1.3916,1.4516,1.4723,1.4708,0.011696,0.010677,0.011956,0.012227
Rame_Head,58815,25,2018,7,13,12,0,0,50.317132,-4.219809,105,0.362821,0.19698,0.131409,0.102901,0.364,0.1986,0.1346,0.104,0.995,0.9946,0.9941,0.9936,0.002262,0.001383,0.001039,0.000868,0.755764,0.674321,0.623046,0.597926,0.063,0.209,0.493,0.025,2.9225,0.545,1.484998,1.62145672,1.142685,1.3745,1.3824,1.3924,1.3938,0.000543,0.000527,0.000526,0.000527
Ras_El_Ain,58827,27,2006,5,27,12,0,0,31.670278,-7.599444,570,0.387588,0.381505,0.369523,0.356736,0.391533,0.378633,0.3699,0.363167,0.8969,0.9827,0.9841,0.9802,0.042088,0.006764,0.006109,0.007476,0.783513,0.728257,0.723695,0.725744,0.015,0.185333,0.692,0.218,1.796667,0.567667,0.082507,0.115487068,2.976764,1.5286,1.5308,1.5187,1.5126,0.00471,0.000815,0.000957,0.00134
Ras_El_Ain,58829,13,2006,5,29,12,0,0,31.670278,-7.599444,570,0.374595,0.275402,0.235458,0.213629,0.37795,0.276275,0.2359,0.214325,0.9391,0.9503,0.9501,0.9536,0.025106,0.015402,0.013409,0.011451,0.781546,0.736389,0.724107,0.727876,0.03875,0.173,0.48725,0.14375,2.38225,0.69175,0.698288,0.602990073,0.941346,1.4039,1.4179,1.4224,1.4105,0.003332,0.002848,0.003092,0.00306
Ras_El_Ain,58847,27,2006,7,23,12,0,0,31.670278,-7.599444,570,0.380365,0.339812,0.314805,0.295068,0.3839,0.337586,0.314157,0.300629,0.9094,0.97325,0.9789,0.97245,0.036555,0.009607,0.00709,0.00886,0.774824,0.737602,0.735349,0.738385,0.024429,0.152286,0.659,0.183286,1.874429,0.568286,0.295622,0.276717059,2.476303,1.4631,1.48015,1.47155,1.46595,0.004867,0.001496,0.001363,0.002041
Ras_El_Ain,58849,27,2006,7,28,12,0,0,31.670278,-7.599444,570,0.362335,0.309806,0.286325,0.269198,0.36704,0.30876,0.28552,0.27462,0.9081,0.9619,0.9674,0.9682,0.042533,0.015254,0.012202,0.011504,0.763546,0.719138,0.717717,0.720159,0.0256,0.1368,0.605,0.1938,2.2332,0.62,0.376179,0.244703926,1.887155,1.4699,1.4956,1.4854,1.4777,0.004527,0.001936,0.001933,0.00209
Ras_El_Ain,58853,27,2006,8,3,12,0,0,31.670278,-7.599444,570,0.359579,0.304628,0.280414,0.264088,0.363488,0.30375,0.280125,0.268587,0.90465,0.953475,0.96065,0.962025,0.039114,0.016068,0.012528,0.011572,0.761203,0.725096,0.727547,0.732472,0.02875,0.13025,0.588625,0.1825,2.106625,0.605625,0.386791,0.264427304,1.714449,1.45235,1.4902,1.48555,1.477575,0.004932,0.002401,0.002314,0.002487
Ras_El_Ain,58871,5,2007,3,19,12,0,0,31.670278,-7.599444,570,0.331545,0.308163,0.285869,0.269231,0.334133,0.30635,0.286683,0.274567,0.9329,0.9735,0.9571,0.9609,0.029987,0.011023,0.016562,0.014286,0.772734,0.74215,0.746328,0.746339,0.019667,0.164333,0.6905,0.155333,1.7135,0.5635,0.224221,0.271472966,1.023845,1.4347,1.4539,1.4397,1.4278,0.003104,0.00145,0.002938,0.002933
Ras_El_Ain,58877,5,2007,7,28,12,0,0,31.670278,-7.599444,570,0.298658,0.26824,0.250507,0.239865,0.301233,0.267083,0.25155,0.243517,0.9235,0.98185,0.98405,0.9919,0.034792,0.007423,0.006174,0.003033,0.769702,0.733323,0.736616,0.737149,0.019333,0.143833,0.642833,0.151333,1.9445,0.613667,0.275367,0.204036614,2.656103,1.4555,1.4776,1.46785,1.46245,0.003481,0.000903,0.000953,0.000532
Rimrock,58907,8,2004,7,31,12,0,0,46.4875,-116.991667,824,0.374051,0.202362,0.126405,0.089746,0.375033,0.204067,0.124933,0.0905,0.9033,0.897,0.8669,0.8473,0.040574,0.02444,0.019514,0.016086,0.709411,0.61495,0.570242,0.550937,0.059,0.173333,0.475333,0.028667,3.861333,0.591667,1.601798,2.027022676,1.087623,1.4072,1.4433,1.4336,1.4167,0.014106,0.012946,0.013813,0.013581
Rimrock,58911,23,2006,9,2,12,0,0,46.4875,-116.991667,824,0.378518,0.168001,0.095584,0.072116,0.3788,0.1684,0.09775,0.0718,0.9843,0.9798,0.9749,0.9719,0.007608,0.004364,0.003118,0.002547,0.646468,0.542526,0.495574,0.478273,0.048,0.15,0.463,0.0135,3.1135,0.6765,1.978195,1.939643008,1.310834,1.4952,1.5145,1.5223,1.5321,0.002416,0.002376,0.002368,0.002368
Rimrock,58919,11,2007,9,5,12,0,0,46.4875,-116.991667,824,0.346257,0.160394,0.09979,0.073376,0.34745,0.1598,0.0965,0.0711,0.9237,0.8878,0.8473,0.8206,0.048612,0.031703,0.025159,0.021155,0.688021,0.633582,0.607751,0.599584,0.035,0.1625,0.467,0.0245,3.7155,0.649,1.511459,1.920323503,0.96977,1.5235,1.4985,1.4849,1.4712,0.014178,0.015525,0.017298,0.017657
Rimrock,58957,1,2018,8,21,12,0,0,46.4875,-116.991667,824,0.377472,0.214344,0.134981,0.097781,0.378429,0.214871,0.134914,0.097186,0.9691,0.96905,0.9609,0.95405,0.013216,0.007512,0.005797,0.004752,0.701881,0.617335,0.561743,0.527267,0.041429,0.188714,0.429571,0.022857,3.655571,0.621571,1.492033,2.062122402,1.226094,1.51495,1.53955,1.5454,1.5405,0.005763,0.005412,0.005905,0.006051
Rio_Branco,58963,4,2000,9,5,12,0,0,-9.957467,-67.86935,212,0.378536,0.173406,0.105228,0.073902,0.3786,0.1731,0.104,0.075925,0.9276,0.8933,0.8666,0.8516,0.029556,0.019781,0.014766,0.011766,0.661511,0.58963,0.547447,0.534316,0.03575,0.1655,0.43075,0.02075,2.65,0.73675,1.892978,1.978093812,1.012764,1.5916,1.5301,1.5089,1.4868,0.01395,0.015687,0.015754,0.015178
Rio_Branco,58971,4,2002,7,1,12,0,0,-9.957467,-67.86935,212,0.384978,0.171935,0.09665,0.071942,0.38575,0.172,0.09795,0.0705,0.9183,0.8939,0.8685,0.8475,0.033184,0.019214,0.013566,0.011307,0.67364,0.584581,0.511659,0.467856,0.033,0.169,0.3495,0.018,3.2905,0.6885,2.005945,2.067362813,1.313674,1.5512,1.5328,1.5298,1.5317,0.016706,0.015799,0.015298,0.015422
Rio_Branco,58973,4,2002,8,7,12,0,0,-9.957467,-67.86935,212,0.388199,0.177739,0.107616,0.078214,0.388567,0.1785,0.106633,0.0778,0.9159,0.8805,0.8486,0.8302,0.034257,0.022213,0.016772,0.013695,0.675773,0.595385,0.542547,0.517694,0.039667,0.171333,0.447,0.015,2.702,0.707667,1.890411,1.981908065,1.04487,1.5611,1.535,1.5305,1.5256,0.017103,0.019266,0.020071,0.019861
Rio_Branco,58975,8,2002,8,9,12,0,0,-9.957467,-67.86935,212,0.394175,0.176944,0.105746,0.076981,0.3944,0.177567,0.105367,0.0769,0.9057,0.8715,0.837,0.8159,0.03849,0.023667,0.018017,0.014893,0.663006,0.574987,0.519028,0.495766,0.037667,0.157667,0.388333,0.016,2.403,0.789667,1.930856,1.979971849,1.116877,1.5192,1.5175,1.5196,1.5158,0.017867,0.018454,0.019319,0.01931
Rio_Branco,59107,7,2009,9,30,12,0,0,-9.957467,-67.86935,212,0.373007,0.189421,0.130956,0.108432,0.37435,0.1905,0.13115,0.108275,0.8503,0.8405,0.827,0.8243,0.060763,0.03386,0.026027,0.022096,0.655629,0.577895,0.570763,0.5779,0.049,0.1345,0.443,0.04975,2.7835,0.6915,1.543605,1.204965185,1.253412,1.5001,1.5355,1.566,1.5906,0.023301,0.018615,0.017814,0.0172
Rio_de_Janeiro_UFRJ,59201,3,2011,2,14,12,0,0,-22.857306,-43.233806,21,0.260172,0.134526,0.09664,0.07868,0.261083,0.134983,0.096717,0.079767,0.8433,0.78495,0.7583,0.743,0.071449,0.04882,0.038234,0.033112,0.684747,0.6318,0.625461,0.639488,0.032833,0.140167,0.4305,0.055833,3.207167,0.6625,1.403925,1.211326648,0.932959,1.5472,1.48135,1.46545,1.4479,0.026248,0.026709,0.025022,0.024199
Rogers_Dry_Lake,59205,18,2002,3,1,12,0,0,34.92555,-117.885,715,0.246031,0.241034,0.242431,0.241916,0.2526,0.242533,0.243767,0.244667,0.9615,0.9836,0.975,0.974,0.019117,0.008106,0.012542,0.013176,0.751723,0.721316,0.720855,0.718327,0.007,0.142333,0.652333,0.214,2.389667,0.624,0.153786,-0.023168254,0.765893,1.6,1.5652,1.5379,1.5293,0.000852,0.0005,0.001037,0.001249
